scheme,window,replicate,w,S_GC,N,mean_k
binomial_full,Neutral,8,75,0.7816658452439625,2029,2.7018235584031545
binomial_full,Neutral,8,100,0.7238335435056746,1586,2.380832282471627
binomial_full,Neutral,8,150,0.6054158607350096,1034,2.044487427466151
binomial_full,Neutral,8,200,0.5311258278145695,755,1.8066225165562915
binomial_full,Neutral,8,300,0.3702127659574468,470,1.5914893617021277
binomial_full,Neutral,8,400,0.18670886075949367,316,1.4556962025316456
binomial_full,Neutral,8,600,0.10982658959537572,173,1.283236994219653
binomial_full,Neutral,8,800,0.09345794392523364,107,1.2710280373831775
binomial_full,Neutral,9,25,0.8777605579232856,5162,4.184037194885703
binomial_full,Neutral,9,50,0.8290540540540541,2960,3.1547297297297296
binomial_full,Neutral,9,75,0.7857493857493858,2035,2.697788697788698
binomial_full,Neutral,9,100,0.7284726587052168,1591,2.3871778755499684
binomial_full,Neutral,9,150,0.6086538461538461,1040,2.0346153846153845
binomial_full,Neutral,9,200,0.5233644859813084,749,1.8077436582109478
binomial_full,Neutral,9,300,0.3710691823899371,477,1.5932914046121593
binomial_full,Neutral,9,400,0.1853035143769968,313,1.4568690095846646
binomial_full,Neutral,9,600,0.11176470588235295,170,1.2941176470588236
binomial_full,Neutral,9,800,0.09090909090909091,110,1.2727272727272727
binomial_full,Neutral,10,25,0.8811611143580752,5133,4.209234365867913
binomial_full,Neutral,10,50,0.8267929634641408,2956,3.157645466847091
binomial_full,Neutral,10,75,0.7868369351669942,2036,2.699410609037328
binomial_full,Neutral,10,100,0.7301387137452712,1586,2.3833543505674655
binomial_full,Neutral,10,150,0.6189555125725339,1034,2.0502901353965184
binomial_full,Neutral,10,200,0.5434210526315789,760,1.8105263157894738
