scheme,window,w,S_GC,lo,hi,mean_k,N
raw,Post-transition,50,0.9069644741470277,0.9069644741470277,0.9069644741470277,4.926837847344355,5686.0
raw,Post-transition,75,0.8907622892424603,0.8907622892424603,0.8907622892424603,4.10496319164094,4211.0
raw,Post-transition,100,0.8571850103275303,0.8571850103275303,0.8571850103275303,3.5975213927412217,3389.0
raw,Post-transition,150,0.8047677764077271,0.8047677764077271,0.8047677764077271,3.087546239210851,2433.0
raw,Post-transition,200,0.765295358649789,0.765295358649789,0.765295358649789,2.719409282700422,1896.0
raw,Post-transition,300,0.71781033153431,0.71781033153431,0.71781033153431,2.2960678488820356,1297.0
raw,Post-transition,400,0.6673575129533679,0.6673575129533679,0.6673575129533679,2.132642487046632,965.0
raw,Post-transition,600,0.5551782682512734,0.5551782682512734,0.5551782682512734,1.8879456706281834,589.0
raw,Post-transition,800,0.46559633027522934,0.46559633027522934,0.46559633027522934,1.6788990825688073,436.0
raw,Pre-transition,25,0.9096272459104318,0.9096272459104318,0.9096272459104318,5.205953338696702,7458.0
raw,Pre-transition,50,0.8852496564360971,0.8852496564360971,0.8852496564360971,3.879981676591846,4366.0
raw,Pre-transition,75,0.8308614704954245,0.8308614704954245,0.8308614704954245,3.2205743136636165,3169.0
raw,Pre-transition,100,0.8015453436356242,0.8015453436356242,0.8015453436356242,2.8987393249288327,2459.0
raw,Pre-transition,150,0.7513258691809075,0.7513258691809075,0.7513258691809075,2.46081319976429,1697.0
raw,Pre-transition,200,0.6543887147335423,0.6543887147335423,0.6543887147335423,2.197492163009404,1276.0
raw,Pre-transition,300,0.5611510791366906,0.5611510791366906,0.5611510791366906,1.8848920863309353,834.0
raw,Pre-transition,400,0.4570446735395189,0.4570446735395189,0.4570446735395189,1.711340206185567,582.0
raw,Pre-transition,600,0.3253012048192771,0.3253012048192771,0.3253012048192771,1.5060240963855422,332.0
raw,Pre-transition,800,0.18018018018018017,0.18018018018018017,0.18018018018018017,1.3963963963963963,222.0
