scheme,w,contrast,n_replicates,mean_difference,ci_lo,ci_hi,share_positive
multinomial,150,Post-transition - Pre-transition,25,0.07123378854436288,0.05532457873330687,0.0867752803036192,1.0
multinomial,150,Pre-transition - Neutral,25,0.012739666352209324,-0.0073275734715186,0.03174327227666151,0.88
multinomial,200,Post-transition - Neutral,25,0.11917078430784665,0.09254496109357298,0.1383272310902809,1.0
multinomial,200,Post-transition - Pre-transition,25,0.09319161680615355,0.06571077655415603,0.1120739391749751,1.0
multinomial,200,Pre-transition - Neutral,25,0.02597916750169311,0.009571929824561409,0.048741625616815484,1.0
multinomial,300,Post-transition - Neutral,25,0.16288332435143577,0.12147577542517428,0.22052254265204016,1.0
multinomial,300,Post-transition - Pre-transition,25,0.10873206368992604,0.08120351621484793,0.14260550289818583,1.0
multinomial,300,Pre-transition - Neutral,25,0.054151260661509715,0.007268701944941681,0.12011881365367069,1.0
multinomial,400,Post-transition - Neutral,25,0.2141537206050376,0.13892169432494633,0.2502620713259357,1.0
multinomial,400,Post-transition - Pre-transition,25,0.08385350037981866,0.017317287277721957,0.11854485807062269,0.96
multinomial,400,Pre-transition - Neutral,25,0.13030022022521898,0.10152929877938945,0.15721674403758892,1.0
multinomial,600,Post-transition - Neutral,25,0.04280503803887371,0.0023693434309830707,0.09682349908815582,0.96
multinomial,600,Post-transition - Pre-transition,25,-0.034679195105993196,-0.05954637469172273,-0.003996740162543269,0.04
multinomial,600,Pre-transition - Neutral,25,0.07748423314486691,0.04683559962710104,0.11896964633806736,1.0
multinomial,800,Post-transition - Neutral,25,0.01423849877284665,-0.005310920975625846,0.03565537060380162,0.8
multinomial,800,Post-transition - Pre-transition,25,-0.039781942622448635,-0.08174690852783377,0.008533140710326566,0.08
multinomial,800,Pre-transition - Neutral,25,0.05402044139529529,0.010948142766324581,0.09198068971350913,1.0
raw,25,Post-transition - Neutral,1,0.03639802015568672,,,1.0
raw,25,Post-transition - Pre-transition,1,0.014120271193960199,,,1.0
raw,25,Pre-transition - Neutral,1,0.022277748961726518,,,1.0
raw,50,Post-transition - Neutral,1,0.055049580530006414,,,1.0
raw,50,Post-transition - Pre-transition,1,0.021714817710930645,,,1.0
raw,50,Pre-transition - Neutral,1,0.03333476281907577,,,1.0
raw,75,Post-transition - Neutral,1,0.08226010410141937,,,1.0
raw,75,Post-transition - Pre-transition,1,0.05990081874703579,,,1.0
raw,75,Pre-transition - Neutral,1,0.022359285354383585,,,1.0
raw,100,Post-transition - Neutral,1,0.08315903630155619,,,1.0
raw,100,Post-transition - Pre-transition,1,0.05563966669190601,,,1.0
raw,100,Pre-transition - Neutral,1,0.02751936960965018,,,1.0
raw,150,Post-transition - Neutral,1,0.10825791297828857,,,1.0
raw,150,Post-transition - Pre-transition,1,0.05344190722681963,,,1.0
raw,150,Pre-transition - Neutral,1,0.054816005751468944,,,1.0
raw,200,Post-transition - Neutral,1,0.17669432238035898,,,1.0
raw,200,Post-transition - Pre-transition,1,0.11090664391624672,,,1.0
raw,200,Pre-transition - Neutral,1,0.06578767846411226,,,1.0
raw,300,Post-transition - Neutral,1,0.2598815289453132,,,1.0
raw,300,Post-transition - Pre-transition,1,0.15665925239761935,,,1.0
raw,300,Pre-transition - Neutral,1,0.10322227654769384,,,1.0
raw,400,Post-transition - Neutral,1,0.3103781079190429,,,1.0
raw,400,Post-transition - Pre-transition,1,0.21031283941384898,,,1.0
raw,400,Pre-transition - Neutral,1,0.10006526850519393,,,1.0
raw,600,Post-transition - Neutral,1,0.40317826825127334,,,1.0
raw,600,Post-transition - Pre-transition,1,0.22987706343199626,,,1.0
raw,600,Pre-transition - Neutral,1,0.1733012048192771,,,1.0
raw,800,Post-transition - Neutral,1,0.3976950957073281,,,1.0
raw,800,Post-transition - Pre-transition,1,0.28541615009504917,,,1.0
raw,800,Pre-transition - Neutral,1,0.11227894561227894,,,1.0
